hand,score
12444689,337
13444467,337
23355689,337
14444566,337
12245789,337
22356779,337
24466779,337
23333569,337
15556679,337
22356677,337
14444569,337
33455689,337
23333566,337
11156789,337
22456778,337
24446678,337
35566778,337
12223468,337
12244445,336
11222556,336
33355567,336
33445589,336
33334558,336
33555677,336
11222478,336
12223358,336
11222379,336
12233339,336
23333477,336
23333558,336
23344448,336
12223349,336
12223448,336
13355558,336
13333778,336
44455568,336
11112279,336
23345555,336
33334459,336
22455579,336
33444457,336
14444558,336
11557789,336
22333345,336
11122789,336
12444477,336
13446789,335
11122255,335
13556689,335
13356789,335
12245689,335
22456678,335
22356679,335
14456689,335
12244589,334
13455589,334
12355589,334
12235589,334
12233789,334
15556778,334
14444578,334
11444467,334
44555669,334
44455678,334
13455559,334
11114677,334
13444789,334
12223459,334
12355559,334
33356677,334
12447789,334
12455558,334
34446778,334
33356779,334
33444456,334
44556779,334
11222366,334
11122689,334
11222369,334
33334578,334
11222468,334
44556677,334
24555677,334
12444479,334
23333578,334
23333479,334
22444567,334
22455677,334
33445789,334
22455569,334
22455566,334
23334589,334
23444458,334
33555667,334
11112266,334
22336778,334
11112677,334
22333678,334
33555679,334
11112269,334
12223355,333
11122257,333
11222448,333
13333555,333
11122239,333
22355577,333
11155557,333
11122248,333
11115557,333
44455779,333
22445559,333
22333779,333
44555778,333
12456789,333
11112679,332
11556689,332
22346677,332
34466779,332
33445689,332
34446678,332
11112667,332
33566779,332
11126789,332
12233689,332
23333568,332
15556678,332
22455679,332
11114679,332
13444689,332
12235789,332
11114667,332
24555667,332
33356679,332
22336678,332
14444568,332
24555679,332
22346779,332
23333466,332
11446789,332
23333469,332
33334568,332
13333668,332
44556679,332
11146789,332
22455667,332
11115678,332
24466778,332
23455789,332
22356778,332
12444469,332
12444466,332
33334458,331
12223348,331
12223357,331
23333557,331
33334557,331
11444789,331
11115556,331
11155556,331
23444455,331
11112278,331
14444557,331
11255559,331
22455578,331
23333449,331
12233338,331
11255589,331
11115779,331
13335589,331
22355579,331
13355557,331
11157789,331
12223447,331
11222459,331
11455559,331
11222378,331
11455589,331
13444477,331
11122256,331
11225589,331
23344447,331
13346789,330
12235689,330
12446689,330
24566779,330
12336789,330
22356678,330
23455689,330
33355577,330
11222333,330
22346679,330
13455558,329
11225789,329
12355558,329
44555668,329
23444457,329
12444589,329
22333669,329
13357789,329
12223458,329
13444479,329
23344789,329
22455568,329
22355677,329
11115567,329
44455669,329
23333478,329
12444478,329
14444556,329
12223446,329
14455789,329
34555677,329
33356778,329
13447789,329
23336779,329
12455557,329
11113677,329
33346779,329
13355556,329
13335789,329
12223356,329
44556778,329
22445677,329
11222368,329
33334556,329
23336677,329
11112268,329
33346677,329
22355566,329
23445589,329
23344446,329
23333556,329
23555677,329
22355569,329
11444689,329
33555678,329
33355579,328
22444577,328
13456789,328
11222339,328
11144489,328
11222447,328
33334455,328
11114449,328
11444477,328
11122238,328
22333778,328
12356789,328
33555779,328
11122247,328
24445559,328
22444559,328
44455778,328
22445558,328
23333468,327
22455678,327
11113667,327
33466779,327
22355667,327
44556678,327
12457789,327
15566779,327
13335689,327
13444469,327
12455556,327
11113679,327
33356678,327
11136789,327
34466778,327
33346679,327
22445679,327
23336679,327
22445667,327
23555679,327
11225689,327
11156689,327
13333567,327
11114678,327
23555667,327
23444456,327
12234789,327
33566778,327
23344689,327
23366779,327
22355679,327
13444466,327
34555667,327
11112678,327
34555679,327
14455689,327
24555678,327
11115669,327
12444468,327
22346778,327
23445789,327
11122246,326
12233337,326
33334457,326
11355589,326
11122589,326
23333448,326
11355559,326
22455779,326
24555779,326
22444579,326
33355677,326
11447789,326
11455558,326
11444479,326
12223455,326
11222458,326
11222446,326
33355569,326
11222359,326
